Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2161546,07-Nov-21,South Carolina,Greenville,Staunton Bridge Rd,1,1,N/A
2160866,06-Nov-21,California,Oakland,I-880 and Filbert St,1,0,N/A
2159430,04-Nov-21,Illinois,Harvey,15300 block of Lexington Ave,1,0,N/A
2156847,01-Nov-21,Tennessee,Nashville,2071 Oakwood Ave,1,0,N/A
2170476,30-Oct-21,Florida,Fort Pierce,100 block of Lilac Ter,1,0,N/A
2155944,30-Oct-21,Colorado,Colorado Springs,1350 Pleier Dr,4,0,N/A
2241941,29-Oct-21,Virginia,Newport News,N/A,1,0,N/A
2154648,29-Oct-21,South Carolina,Columbia,2400 block of Blue Ridge Terrace,1,0,N/A
2153114,28-Oct-21,Texas,Houston,8301 Willow Pl Dr N,1,0,N/A
2152151,26-Oct-21,Alabama,Greensboro,Balsa Ave,1,0,N/A
2151242,25-Oct-21,Ohio,Canton,1600 block of Royal Ave NE,1,0,N/A
2150576,25-Oct-21,Tennessee,Cleveland,Hancock Rd NE,1,0,N/A
2145183,18-Oct-21,Texas,Elsa,200 block of Begonia St,1,0,N/A
2145544,18-Oct-21,Texas,Austin,5828 Abby Ann Ln,3,0,N/A
2146784,17-Oct-21,North Carolina,Elizabeth City,Hickory Rd,1,0,N/A
2142565,16-Oct-21,South Carolina,Greenville,3125 White Horse Rd,1,0,N/A
2146135,14-Oct-21,Wisconsin,Milwaukee,2600 block of North 37th St,2,0,N/A
2141201,14-Oct-21,Illinois,Chatham,300 block of Wintergreen Dr,1,0,N/A
2139614,12-Oct-21,Arkansas,Marion,835 Blvd. Saint Germaine St,3,0,N/A
2142113,12-Oct-21,South Carolina,Orangeburg,Russell St,1,0,N/A
2138796,12-Oct-21,Mississippi,Clarksdale,State St and DeSoto Ave,1,1,N/A
2146805,11-Oct-21,South Carolina,Orangeburg,N/A,1,0,N/A
2136751,09-Oct-21,Missouri,Independence,1200 block of N Liberty St,1,0,N/A
2135002,07-Oct-21,Florida,Jacksonville,7000 block of Linda Dr,1,0,N/A
2133237,04-Oct-21,Arizona,Phoenix,N 83rd Ave and W Thomas Rd,2,0,N/A
2131147,02-Oct-21,Wisconsin,Milwaukee,N Sherman Blvd and Burleigh St,1,1,N/A
